Account ,Current Services,PPC Upsold,Upsold Date,SEO Upsold,Upsold Date,CRO Upsold,Upsold Date,Strategy Upsold,Upsold Date,Feed Management Upsold,Upsold Date,Email Marketing Upsold,Upsold Date
Gadsden and Culpeper,"Adwords, Facebook",TRUE,Active,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
Garcia Lapierre,"Adwords, Facebook",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Gaz Metro,Adwords,TRUE,Active,TRUE,Pitched 2018,FALSE,,FALSE,,FALSE,,FALSE,
Genius ERP,,FALSE,,TRUE,Active ,FALSE,,FALSE,,FALSE,,FALSE,
Gold Castle Holdings Inc.,Adwords,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Good Food For Good,"Adwords, Facebook",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Gosselin Photo,"Adwords, Facebook, Bing",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Gouverneur,"Adwords, Facebook",TRUE,Active,TRUE,Mandate 2017,FALSE,,FALSE,,FALSE,,FALSE,
Green Beaver,"Adwords, Facebook",TRUE,Active,TRUE,Mandate 2018,FALSE,,FALSE,,FALSE,,FALSE,
Headrush,"Adwords, Facebook",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Horizon,Adwords,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Horizon,Adwords,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Horizon,Adwords,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Industrielle Alliance,"Adwords, Bing",TRUE,Active,TRUE,Pitched 2018,FALSE,,FALSE,,FALSE,,FALSE,
Intact Assurance,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
ITHQ,"Adwords, Facebook, Bing",TRUE,Active,TRUE,Active ,FALSE,,FALSE,,FALSE,,FALSE,
J2 Global,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
JC Perreault,,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Jenny Bird,"Adwords, Facebook",TRUE,Active,TRUE,Pitched 2018,FALSE,,FALSE,,FALSE,,FALSE,
Jouviance,Adwords,TRUE,Active,TRUE,Active ,FALSE,,FALSE,,FALSE,,FALSE,
Laura Canada / Melanie Lyne,"Adwords, Facebook",FALSE,,TRUE,10-15-2018,TRUE,11-01-2017 / 02-28-2019,FALSE,,FALSE,,FALSE,
Les Amis de la Montagne,Adwords,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
LHotel,Adwords,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Lingerie Hertex Inc,Adwords,TRUE,Active,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
Little Burgundy,"Adwords, Facebook",TRUE,Active,TRUE,Pitched 2018,FALSE,,FALSE,,FALSE,,FALSE,
Lolë,"Adwords, Facebook, Bing",FALSE,,TRUE,05-07-2018,FALSE,,FALSE,,FALSE,,FALSE,
Louwana Creek,Facebook,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Manac,"Adwords, Facebook",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Matt & Nat,"Adwords, Facebook",TRUE,Active,TRUE,Pitched 2018,FALSE,,FALSE,,FALSE,,FALSE,
Message Factory,Facebook,TRUE,Active,TRUE,Active ,FALSE,,FALSE,,FALSE,,FALSE,
